name,level,school,casting_time,range,components,duration,classes,source,description
Amok,4,Transmutation,1 bonus action,Self,"V, S",1 minute,"Druid, Paladin, Ranger, Sorcerer",Stronghold,"When you cast this spell and at the start of each of your turns for the spell's duration, roll a d4. Until the start of your next turn, your Strength and Dexterity scores increase by an amount equal to the result, and your Intelligence and Wisdom scores decrease by the same amount. This spell can't increase your ability scores above 22, and can't decrease them below 5.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you roll a d6 instead; when using a spell slot of 8th level or higher, you roll a d8.
 "
All is Dust,9,Evocation,1 action,Self (100-foot radius),"V, S",Instantaneous,Wizard,Rise of the Eldrazi,"With a word and a gesture, you level the world before you with an immensely powerful, and highly uncontrolled, invisible blast of magical energy. Each creature and object within the radius must make a Constitution saving throw, taking 10d10 force damage on a failed save or half as much on a success. Any creature behind an object or structure large enough to provide full cover has advantage on this saving throw. Eldrazi creatures automatically succeed on the saving throw.Non-magical plant life within the spell's radius is killed and reduced to dust, and the ground within the radius of the spell's effect is torn apart by the force of the blast, turning it into difficult terrain. Any creature, object, or structure reduced to 0 hit points by the spell is reduced to a pile of fine grey dust. A creature killed this way can be restored to life only by means of a true resurrection or a wish spell.After casting this spell, you must make a Constitution saving throw. On a failed saving throw you suffer two levels of exhaustion, or one level of exhaustion on a successful save.
 "
Rings a Bell,6,Enchantment,1 action,Self,"V, M (a handbell)","Concentration, up to 1 hour",Wizard,Unsanctioned,"When you cast this spell, choose a word with four or more letters. Every time you, the player, say the chosen word, the DM must ring or imitate a bell within five seconds. If the DM does not, you, the character, regain an expended spell slot of 3rd level or below.
 "
Accumulated Knowledge,2,Divination,1 bonus action,Touch,"V, S",Instantaneous,Wizard,Nemesis,"When you cast this spell, you immediately learn one factual piece of information about the creature or object you touched which you did not know before. The depth of the knowledge gained in this way varies depending upon how many times you've cast this spell since the end of your last long rest.
 1st casting: You learn one simple fact about the target which is public or widely held knowledge. This could include when the target was created or its date of birth, the name it most frequently goes by, what materials it is made of, who created the object, or the last creature to interact with it in some way.
 2nd casting: You learn one fact about the target which is not well-known, or might be considered a minor secret. This could include the target's alignment, the birth name of a humanoid, any spells affecting the target, or any resistances or vulnerabilities the target has, or a secret that the target keeps from others.
 3rd casting or more: You learn one fact about the target which is almost entirely unknown, or is considered to be a major secret. This could be the true name of a powerful being such as a devil or dragon, a list of abilities which the target has or spells that it knows, a magical ritual necessary to destroy the target, or secrets unknown even to the target itself.
 When you cast the spell, you can attempt to learn specific information by asking a question as you do so, such as ""What is this object made of?"" or ""Who was the last one person this creature spoke to?"" However, if the DM decides this question falls outside of the scope of what could be learned using this casting of the spell, they can choose to provide different information instead.If there is no information to be learned about the target that you do not already know, the spell fails; however, it still counts towards the number of times you have cast the spell since the end of your last long rest.
 "
Betrayal,1,Enchantment,1 action,60 ft,V,"Concentration, up to 1 minute","Bard, Druid, Paladin, Sorcerer, Warlock",Visions,"Choose a hostile creature that you can see within range. Whenever the target hits a creature with a weapon attack, it must make a Wisdom saving throw. On a failed save, you regain 1d4 hit points.
 At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the number of hit points regained increases by 1d4 for each slot level above 1st.
 "
Abduction,6,Enchantment,1 action (ritual),Self,"V, S, M (a silver idol shaped like the target worth at least 100 gp, consumed in the casting)","Concentration, up to 10 mins.","Bard, Warlock, Wizard",Weatherlight,"When you cast this spell, choose a creature that you can see within 120 feet, or that you are currently viewing through magical means such as the scrying spell and that is on the same plane as you. The target must succeed on a Charisma saving throw or immediately be teleported to your location, appearing in an unoccupied space of your choice within 5 feet. After it appears, chains of magical energy wrap themselves around the creature and sink into its skin, becoming magical tattoos which cause the creature to be charmed by you and place it under your control. While charmed in this way, the target obeys any commands that you issue to it (no action required). The target can repeat the saving throw if given a command that is harmful to itself, or if you or your allies harm or threaten it, ending the spell on itself on a success. When the spell ends, the target can choose to either remain in its current location, or be teleported back to its previous location before the spell was cast.
 At Higher Levels. When you cast this spell using a spell slot of 8th level or higher, you can instead maintain concentration on the spell for up to 24 hours.
 "
Arc Blade,7,Evocation,1 action,Self,"V, S",Instantaneous,Wizard,Future Sight,"You spread your hands wide, and launch a thin, arced blade of magical energy from your fingertips. Each creature in a 30-foot cone must make a Dexterity saving throw, taking 6d8 force damage on a failed save, or half as much on a successful one.After casting this spell, you gain three time counters. At the start of each of your turns, you lose one time counter. When you lose your last time counter, you can choose to immediately use your reaction to create another blade of magical energy with the same effects.
 Suspend. When you cast this spell, you can instead choose to suspend it using a 3rd-level spell slot. If you do, instead of the spell's normal effects, you gain three time counters. At the start of each of your turns, you lose one time counter. When you lose your last time counter, you can choose to immediately use your reaction to cast the spell as normal.
 "
Aethermage's Touch,8,Illusion,1 action,Touch,"V, S, M (a horn, claw, tooth, and scale each taken from a different beast)","Concentration, up to 1 hour","Bard, Druid, Wizard",Dissension,"At your touch, a willing creature is wrapped in thick clouds of translucent vapors, which swirl about the target and obscure its true form, transforming its appearance. Choose up to four beasts which you have seen before, and which can not be more than one size larger or smaller than the target. For the duration of the spell, the target can use an action on its turn to assume the appearance of one of the chosen creatures. The change in appearance is illusory, and does not affect the target's game statistics. A creature that physically interacts with the target can make a Wisdom (Perception) check against your spell save DC. On a success, that creature is able to see through the illusion, and identify the target's true appearance.
 At Higher Levels. When you cast this spell using a spell slot of 9th level, you can instead choose up to six different beasts, allowing the target to assume the appearance of any of the chosen creatures.
 "
Aether Tradewinds,3,Conjuration,1 bonus action,60 ft,"V, S",Instantaneous,Wizard,Worldwake,"Choose two creatures that you can see within range. Each of those creatures must succeed on a Strength saving throw or be lifted by magical wind, and carried to the other creature's location. If both targets fail their saving throw, they swap spaces. Otherwise a target that fails its saving throw is placed in a random unoccupied space within 5 feet of the other target. This movement does not provoke an opportunity attack.
 "
Browbeat,4,Enchantment,1 action,15 ft,"V, S",Instantaneous,Bard,Judgement,"You berate and antagonize a creature that you can see in range, weaving magic into your words that forces the target to make a Constitution saving throw. On a failed save the target takes 6d10 psychic damage and has disadvantage on the next saving throw it makes. On a successful save the target instead takes half as much damage and suffers no other effect.
 "
